preference(user_13, negative_meat).
preference(user_16, positive_nuts).
preference(user_23, negative_dairy).
preference(user_10, positive_nuts).
preference(user_10, positive_meat).
preference(user_17, negative_nuts).
preference(user_16, negative_meat).
preference(user_17, positive_dairy).
preference(user_8, positive_meat).
preference(user_21, positive_nuts).
preference(user_9, positive_dairy).
preference(user_8, positive_dairy).
preference(user_7, negative_dairy).
preference(user_5, negative_dairy).
preference(user_4, positive_meat).
preference(user_3, positive_meat).
preference(user_23, negative_meat).
preference(user_1, positive_nuts).
preference(user_1, negative_dairy).
preference(user_14, negative_dairy).
preference(user_18, positive_dairy).
preference(user_4, positive_dairy).
preference(user_7, negative_nuts).
preference(user_12, positive_meat).
preference(user_22, positive_meat).
preference(user_15, negative_dairy).
preference(user_11, positive_nuts).
preference(user_2, negative_meat).
preference(user_20, negative_nuts).
preference(user_22, negative_nuts).
preference(user_14, negative_meat).
preference(user_18, negative_meat).
preference(user_2, positive_nuts).
preference(user_4, negative_nuts).
preference(user_8, negative_nuts).
preference(user_10, negative_dairy).
preference(user_24, positive_dairy).
preference(user_20, positive_meat).
item(food_37, has_meat).
item(food_2, has_dairy).
item(food_26, has_dairy).
item(food_38, has_meat).
item(food_50, has_nuts).
item(food_37, has_dairy).
item(food_38, has_dairy).
item(food_44, has_nuts).
item(food_44, has_dairy).
item(bev_6, has_dairy).
item(food_49, has_nuts).
item(food_33, has_dairy).
item(food_25, has_dairy).
item(food_47, has_nuts).
item(food_13, has_dairy).
item(food_29, has_dairy).
item(food_1, has_meat).
item(bev_17, has_dairy).
item(food_9, has_dairy).
item(food_6, has_meat).
item(food_27, has_dairy).
item(food_42, has_meat).
item(food_45, has_meat).
item(food_9, has_meat).
item(food_36, has_dairy).
item(food_40, has_meat).
item(food_3, has_meat).
item(food_42, has_dairy).
item(food_6, has_dairy).
item(food_2, has_meat).
item(food_3, has_dairy).
item(food_17, has_dairy).
item(food_49, has_dairy).
item(food_45, has_dairy).
item(food_25, has_meat).
item(food_40, has_dairy).
item(food_4, has_dairy).
item(food_31, has_meat).
item(food_20, has_dairy).
item(food_50, has_dairy).
item(food_21, has_dairy).
item(food_43, has_dairy).
item(food_31, has_dairy).
item(food_46, has_meat).
item(food_33, has_meat).
item(bev_10, has_dairy).
item(food_23, has_meat).
item(food_48, has_nuts).
item(bev_16, has_dairy).
item(bev_22, has_nuts).
item(food_34, has_dairy).
item(food_27, has_meat).
item(food_48, has_dairy).
item(food_46, has_dairy).
item(food_13, has_meat).
