User_Config,time,Algorithm,uc,dm,mc,uc_dm_mc,uc_dm,uc_mc,dm_mc
c1,1 day,m2,0.875,0.890,0.993,0.919,0.883,0.934,0.942
c1,1 day,m1,0.806,1.000,0.384,0.730,0.903,0.595,0.692
c1,1 day,m0,0.736,0.978,0.454,0.723,0.857,0.595,0.716
c1,3 days,m2,0.870,0.905,0.984,0.920,0.888,0.927,0.944
c1,3 days,m1,0.806,1.000,0.380,0.729,0.903,0.593,0.690
c1,3 days,m0,0.779,0.995,0.438,0.737,0.887,0.608,0.716
c1,5 days,m2,0.918,0.914,0.993,0.942,0.916,0.955,0.954
c1,5 days,m1,0.796,1.000,0.377,0.725,0.898,0.587,0.689
c1,5 days,m0,0.775,0.995,0.439,0.736,0.885,0.607,0.717
c2,1 day,m2,0.954,0.918,0.986,0.953,0.936,0.970,0.952
c2,1 day,m1,0.852,1.000,0.384,0.745,0.926,0.618,0.692
c2,1 day,m0,0.847,0.988,0.400,0.745,0.918,0.624,0.694
c2,3 days,m2,0.948,0.949,0.977,0.958,0.948,0.962,0.963
c2,3 days,m1,0.861,1.000,0.380,0.747,0.931,0.621,0.690
c2,3 days,m0,0.856,0.996,0.412,0.755,0.926,0.634,0.704
c2,5 days,m2,0.917,0.933,0.949,0.933,0.925,0.933,0.941
c2,5 days,m1,0.869,1.000,0.377,0.749,0.934,0.623,0.689
c2,5 days,m0,0.851,0.992,0.437,0.760,0.922,0.644,0.715
c3,1 day,m2,0.986,0.954,1.000,0.980,0.970,0.993,0.977
c3,1 day,m1,0.968,1.000,0.384,0.784,0.984,0.676,0.692
c3,1 day,m0,0.963,0.984,0.447,0.798,0.973,0.705,0.715
c3,3 days,m2,0.986,0.951,0.993,0.977,0.968,0.990,0.972
c3,3 days,m1,0.961,1.000,0.380,0.781,0.981,0.671,0.690
c3,3 days,m0,0.960,0.991,0.411,0.787,0.975,0.686,0.701
c3,5 days,m2,0.992,0.950,0.986,0.976,0.971,0.989,0.968
c3,5 days,m1,0.967,1.000,0.377,0.781,0.983,0.672,0.689
c3,5 days,m0,0.959,0.995,0.412,0.789,0.977,0.686,0.704
